role,company_name,hiring_badge,location,duration,stipend_perMonth
Video Editing/Making,Bright Rise,Actively hiring,"Gurgaon, Delhi",3 Months," 10,000-14,000 "
Brand Management,The SkinTech India,Actively hiring,Mumbai,3 Months," 10,000-30,000 "
Business Development (Sales),FoodPe,Actively hiring,Gurgaon,3 Months," 12,500 "
Charity Drive,Hamari Pahchan NGO,Actively hiring,Work from home,1 Week,20% of 2000 Funds Raised
Transcription,Samaadhaan,Actively hiring,Work from home,3 Months," 1,000  +  Incentives"
Community Management,InAmigos Foundation,Actively hiring,Work from home,3 Weeks,20% of Revenue Generated
Social Entrepreneurship,Hamari Pahchan NGO,Actively hiring,Work from home,1 Month,Unpaid
Market Research,CavinKare Private Limited,Actively hiring,"Bangalore, Mumbai, Hyderabad, Kolkata, Pune, Chennai, Delhi",3 Weeks," 3,500-5,000 /week"
Campus Ambassador,Youth Marketer,Actively hiring,Work from home,1 Month,Performance Based
Telecalling,Card Expertise India Private Limited,Actively hiring,Noida,6 Months," 8,000-12,000 "
Business Development (Sales),Kabia Investment Managers,Actively hiring,Noida                                                            (Hybrid),3 Months," 10,000 "
UI/UX Design,Think41,Actively hiring,Bangalore,6 Months," 20,000 "
Field Sales Trainee,Swiggy,Actively hiring,Anand,6 Months," 22,000 "
Accounting & Tally,Universal Tribes,Actively hiring,Work from home,1 Month," 1,000 "
Field Sales,Swiggy,Actively hiring,Anand,3 Months," 15,000 "
Business Development (Sales),GenElek Technologies Private Limited,Actively hiring,Delhi,2 Months," 5,000-12,000 "
Film Assistant Director,Small Box Office,Actively hiring,Delhi,6 Months," 7,500 "
Search Engine Optimization (SEO),Techyguide OPC Private Limited,Actively hiring,Bangalore,3 Months," 10,000 "
Auditing & Accounting,Salesken.ai,Actively hiring,Bangalore,2 Months," 25,000 "
Digital Marketing,Vidhyashala,Actively hiring,Work from home,1 Month," 2,000  +  Incentives"
Sales Consultant,Image Media World,Actively hiring,Mumbai,6 Months," 5,000  +  Incentives"
Business Research,Image Media World,Actively hiring,Mumbai,6 Months," 7,000-10,000 "
Field Sales,Image Media World,Actively hiring,Mumbai                                                            (Hybrid),1 Month," 1,000 /week"
Telecalling,Image Media World,Actively hiring,Mumbai,6 Months," 7,000-10,000 "
Embedded Systems,GenElek Technologies Private Limited,Actively hiring,Delhi,3 Months," 5,000-15,000 "
International Business Development,Image Media World,Actively hiring,Mumbai,6 Months," 10,000 "
Business Development (Sales),Image Media World,Actively hiring,Mumbai,6 Months," 10,000 "
Video Editing/Making,Rizzle,Actively hiring,Hyderabad,3 Months," 15,000 "
Business Development (Sales),Prost Technologies Private Limited (OneAssure),Actively hiring,Bangalore,3 Months," 15,000 "
Data Analytics,Futurlytic Private Limited,Actively hiring,Bangalore,6 Months," 25,000 "
Teaching Assistance - Electric Vehicle (Mechanical),Internshala,Actively hiring,Gurgaon,6 Months," 18,000 "
Mobile App Development,GenElek Technologies Private Limited,Actively hiring,Delhi,3 Months," 5,000-15,000 "
Business Development (Sales),Livelish Private Limited,Actively hiring,Delhi                                                            (Hybrid),3 Months," 8,000  +  Incentives"
Business Development (Sales),Envision Next LLP,Actively hiring,"Pune, Navi Mumbai",6 Months," 5,000-15,000 "
Sales And Business Development,Travokarma,Actively hiring,Work from home,2 Months," 5,000  +  Incentives"
Social Media Marketing,Aviotron Aerospace,Actively hiring,Noida,3 Months," 12,000 "
SEO (Off Page),Rank Revenue Digitech,Actively hiring,Work from home,4 Months," 10,000 "
Behavioral Research Writer (Nudge Content Specialist),QiWorks,Actively hiring,Bangalore,2 Months," 50,000 "
Mobile App Development,"Swissmote, Inc. (San Francisco, United States)",Actively hiring,Work from home,1 Month,$ 600 
Sketch Artist,Unimonks,Actively hiring,Delhi,3 Months," 4,000-10,000 "
Operations,Setupmate Management Consultancy,Actively hiring,Work from home,3 Months," 16,000-25,000 "
Social Media Manager,Pixii,Actively hiring,Work from home,6 Months," 20,000-40,000 "
Video Editing/Making,Meragi,Actively hiring,Bangalore,3 Months," 15,000 "
Digital Marketing,Greenstakes,Actively hiring,Hyderabad,3 Months," 12,000 "
Financial Content Creator (Video),Trade Brains,Actively hiring,Bangalore,3 Months," 10,000 "
Subject Matter Expert(CIVIL),Requin Solutions Private Limited,Actively hiring,Jaipur,6 Months," 10,000-12,000 "
Market Research,Galaxy Industries,Actively hiring,Indore                                                            (Hybrid),1 Month," 3,000  +  Incentives"
Business Development (Sales),Agrograde Robotics,Actively hiring,Pimpri-Chinchwad,3 Months," 18,000-25,000 "
Sales,FreJun Incorporation,Actively hiring,Work from home,6 Months," 12,000 "
Social Media Influencer (Finance),Trade Brains,Actively hiring,Bangalore,3 Months," 10,000 "
Business Development (Sales),Alphanumeric Ideas Private Limited,Actively hiring,"Chandigarh, Mohali",3 Months," 6,000 "
Architecture,Digital Factorys,Actively hiring,Pimpri-Chinchwad,6 Months," 5,000 "
Student Success,Internshala,Actively hiring,Gurgaon,6 Months," 18,000 "
Digital Marketing,Alphanumeric Ideas Private Limited,Actively hiring,"Chandigarh, Mohali",2 Months," 6,000 "
Administration,Aaptatt,Actively hiring,Gurgaon,6 Months," 7,500 "
Anchoring,Unimonks,Actively hiring,Delhi,3 Months," 4,500-10,000 "
Sales Consultant,Monkhub,Actively hiring,Gurgaon,6 Months," 7,000-10,000 "
Mathematics Teaching,Budding Mariners,Actively hiring,Work from home,2 Months," 6,000 lump sum"
Human Resources (HR),Alphanumeric Ideas Private Limited,Actively hiring,"Mohali, Chandigarh",6 Months," 6,000 "
Physics Teaching,Budding Mariners,Actively hiring,Work from home,1 Month," 7,000 lump sum"
Content Writing,Next Labs,Actively hiring,Mumbai,6 Months," 10,000 "
Field Sales,Highway Delite,Actively hiring,Work from home,6 Months," 15,000 "
Graphic Design,Alphanumeric Ideas Private Limited,Actively hiring,Mohali,3 Months," 3,000-6,000 "
Graphic Design,Colab India,Actively hiring,Mumbai,4 Months," 25,000 "
Human Resources (HR),Requin Solutions Private Limited,Actively hiring,Jaipur,6 Months," 10,000 "
Telecalling,Highway Delite,Actively hiring,Work from home,6 Months," 10,000 "
Finance,Petronas Lubricants India Private Limited,Actively hiring,Mumbai,6 Months," 30,000 "
Marketing (Outreach),SwasthAham,Actively hiring,Work from home,6 Months," 1,000 "
Project Management Officer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
UI/UX Design,"Sprung Inc (Los Angeles, United States)",Actively hiring,Work from home,6 Months," 25,000 "
Cyber Security,TwinLine Business Solutions Private Limited,Actively hiring,Gurgaon,3 Months," 15,000 "
Assistant Sales Manager (Work With IITians Edtech Startup Australia),Medventures,Actively hiring,Work from home,3 Months," 1,000  +  Incentives"
Social Media Marketing,Vidhyashala,Actively hiring,Work from home,1 Month," 3,000  +  Incentives"
Social Work,Kshitiksha Foundation,Actively hiring,Work from home,1 Month,Unpaid
Influencer Marketing,Vidhyashala,Actively hiring,Work from home,1 Month," 3,000  +  Incentives"
MS Excel Advance Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 2,000-5,000 "
Insurance Content Creator,RK & Co,Actively hiring,Work from home,2 Months," 2,500 "
